02110,Alaska,Juneau,347,7651,6525,8776,-0.65,15746,11724,20703,,,,,,,,,,6625,5371,7878,11,11,12,-0.96,3.0,2.9,3.2,-0.96,3.1,3.0,3.3,-0.77,,5,4,6,-0.59,5,3,7,6,2,9,,,,,,,5,4,6,17,16,17,-0.68,27,24,31,-1.03,8.2,-0.96,16,13,19,-1.34,100,0.00,24,23,25,1.81,3,6,50,28,67,0.09,161,501.7,-0.50,14,11,17,-0.97,27,19,37,,,,,,,,,,8,6,12,3641,13,12,15,-1.43,41,128,783:1,-0.32,32,100,1004:1,-0.58,214,666,150:1,-0.36,2863,-0.11,6866,1465,,,2166,32,-0.08,15,14,,24,37,43,-1.27,43,44,29,31,44,354,83,-0.56,7044,9218,76,70,82,-1.57,762,17232,4.4,-1.18,9,6,11,-0.95,38,2,,14,4,150011,44457,3.4,-1.27,1524,6880,22,18,27,-1.10,50,15.6,-1.41,236,714,0.91,133,82,68,96,-0.70,153,106,214,,,,,,,,,,78,63,97,,0.00,No,-1.20,13,10,15,8,6,10,4,3,6,1,0,2,-1.00,67,65,70,0.92,68,64,72,54,39,68,,,,58,44,73,69,67,72,17376,7,5,9,0.03
02122,Alaska,Kenai Peninsula,848,8213,7345,9081,-0.52,11299,8331,14980,,,,,,,,,,8372,7389,9354,15,14,15,-0.41,3.8,3.7,4.0,-0.18,3.5,3.3,3.7,-0.23,,5,4,5,-0.75,5,4,8,,,,,,,,,,5,4,5,17,17,18,-0.57,33,29,36,-0.17,7.6,-0.68,23,20,25,-0.07,100,0.00,21,21,22,0.12,11,35,31,23,40,-0.52,173,295.1,-0.72,20,17,23,-0.71,22,15,31,,,,,,,,,,20,17,23,7679,16,14,18,-0.69,46,78,1274:1,0.37,42,72,1394:1,0.07,129,220,454:1,0.48,,0.00,,,,,,,0.00,,,,,,,0.00,,,,,,618,85,-0.81,8232,14143,58,54,62,-0.22,2044,26497,7.7,-0.33,15,10,19,-0.40,35,21,21,43,11,125818,26616,4.7,0.69,3208,13162,24,20,29,-0.91,87,14.8,-1.29,,,0.00,275,94,83,106,-0.49,83,52,126,,,,,,,,,,101,88,114,,0.00,Yes,0.80,18,16,19,11,9,12,4,3,5,5,4,6,-0.69,69,66,71,0.98,57,48,66,54,37,72,,,,67,54,79,72,69,75,24803,15,12,17,0.76
02130,Alaska,Ketchikan Gateway,169,7733,5999,9467,-0.63,17655,11911,25203,,,,,,,,,,6290,4297,8282,14,13,14,-0.59,3.4,3.2,3.5,-0.63,3.2,3.1,3.3,-0.66,,6,5,8,0.72,5,2,8,,,,,,,18,8,27,6,4,8,17,16,18,-0.63,38,32,44,0.70,8.1,-0.92,19,15,24,-0.71,100,0.00,20,20,21,-0.37,2,3,67,39,82,0.64,64,461.9,-0.54,24,19,31,-0.53,37,23,56,,,,,,,,,,17,12,25,1995,17,15,19,-0.37,14,101,990:1,0.05,11,79,1265:1,-0.10,38,273,366:1,0.38,2937,-0.07,5609,,,,2460,34,-0.35,41,23,,29,33,38,-0.83,39,46,,40,38,186,84,-0.64,2139,3573,60,55,65,-0.34,422,7026,6.0,-0.77,13,8,17,-0.58,28,,,16,15,128217,30429,4.2,-0.06,1090,3052,36,30,41,0.09,19,13.7,-1.11,30,358,-0.18,63,91,70,117,-0.54,196,123,297,,,,,,,,,,74,52,103,,0.00,Yes,0.80,17,15,19,12,10,14,4,3,6,2,1,3,-0.74,65,62,68,0.82,61,54,69,46,33,58,,,,,,,67,64,70,6971,8,6,9,0.05
02150,Alaska,Kodiak Island,107,5024,3765,6282,-1.23,,,,,,,,,,,,,,,,13,13,14,-0.66,3.2,3.1,3.3,-0.81,3.0,2.8,3.1,-0.98,,5,4,6,-0.97,5,2,7,7,4,10,,,,,,,4,2,5,15,15,16,-0.84,34,27,42,0.05,8.1,-0.92,25,19,31,0.33,100,0.00,22,21,23,0.53,,,,,,0.00,55,409.0,-0.60,20,15,26,-0.71,43,28,63,16,8,27,,,,,,,9,5,17,2188,18,16,21,-0.03,17,126,791:1,-0.30,10,75,1335:1,-0.01,43,322,310:1,0.29,2886,-0.10,5120,4821,,,1213,28,0.46,28,12,,18,33,42,-1.18,38,36,,36,44,181,86,-0.89,2589,4067,64,55,72,-0.62,362,6210,5.8,-0.81,10,7,13,-0.82,37,4,,4,8,124324,32306,3.8,-0.59,974,3564,27,21,34,-0.65,19,14.1,-1.17,,,0.00,39,57,41,78,-1.11,155,87,255,,,,,,,,,,55,34,85,,0.00,Yes,0.80,22,18,26,13,9,16,9,5,12,2,0,3,-0.44,65,61,69,0.80,68,53,84,42,30,55,,,,73,58,87,70,66,75,7274,3,1,5,-0.46
02158,Alaska,Kusilvak,129,19111,15408,22815,1.89,,,,,,,,,,,,,,,,37,36,38,3.00,7.1,6.8,7.4,2.98,5.8,5.5,6.1,2.99,,6,5,7,0.32,,,,,,,,,,,,,,,,41,40,42,2.81,23,16,32,-1.69,1.9,1.96,28,20,36,0.98,,0.00,17,16,19,-2.19,5,5,100,,,1.73,,,0.00,89,77,100,2.32,,,,,,,,,,,,,,,,1369,18,16,20,-0.24,,,,0.00,,,,0.00,10,120,830:1,0.66,2177,-0.47,,,,,,19,1.67,,,,,,20,0.73,,,,,,165,62,1.66,478,1986,24,17,31,2.32,539,2708,19.9,2.81,47,35,60,2.63,,,,,,69323,16266,4.3,0.01,1678,3305,51,46,55,1.41,3,3.7,0.52,,,0.00,103,253,204,302,2.15,,,,,,,,,,,,,,,,,0.00,Yes,0.80,71,67,75,8,5,11,52,48,55,36,32,40,2.59,5,2,7,-2.02,5,3,6,,,,,,,,,,7,0,19,2038,0,0,43,-0.74
02164,Alaska,Lake and Peninsula,,,,,0.00,,,,,,,,,,,,,,,,22,21,22,0.74,4.8,4.6,5.0,0.76,4.2,4.1,4.4,0.81,x,6,,,0.08,,,,,,,,,,,,,,,,28,27,29,1.00,38,29,47,0.64,3.5,1.22,22,16,30,-0.12,100,0.00,21,20,22,-0.18,,,,,,0.00,,,0.00,,,,0.00,,,,,,,,,,,,,,,,366,25,22,28,1.88,0,0,1620:0,1.46,0,0,1587:0,1.73,2,126,794:1,0.65,,0.00,,,,,,,0.00,,,,,,,0.00,,,,,,,,0.00,187,361,52,37,67,0.26,86,739,11.6,0.68,24,16,32,0.45,30,,,,3,85313,20833,4.1,-0.23,179,372,48,25,71,1.17,0,0.0,1.12,,,0.00,17,213,124,342,1.49,,,,,,,,,,,,,,,,,0.00,Yes,0.80,30,24,35,6,0,13,9,4,14,19,13,25,0.05,23,17,29,-1.16,30,17,43,,,,,,,,,,10,8,13,572,0,0,33,-0.74
02170,Alaska,Matanuska-Susitna,1133,6908,6350,7467,-0.81,11384,8907,14336,,,,,,,,,,6257,5683,6832,13,13,14,-0.67,3.7,3.6,3.9,-0.29,3.3,3.1,3.4,-0.53,,6,5,6,0.13,8,6,10,7,4,10,,,,5,4,7,5,5,6,18,17,18,-0.55,34,32,37,0.10,7.6,-0.68,22,20,25,-0.16,100,0.00,21,20,22,0.01,35,94,37,32,42,-0.33,407,382.0,-0.62,20,18,22,-0.70,26,20,34,22,12,37,,,,24,17,34,19,17,21,13772,15,14,16,-1.02,48,45,2219:1,0.83,53,49,2030:1,0.59,156,145,690:1,0.62,2854,-0.11,2393,,,,2915,37,-0.75,51,27,27,38,36,32,-0.31,28,31,16,33,32,1413,83,-0.58,16661,28351,59,56,61,-0.26,3640,47654,7.6,-0.35,12,9,15,-0.65,17,24,5,10,11,136778,30563,4.5,0.32,6187,27781,22,20,25,-1.09,85,8.0,-0.18,,,0.00,442,85,77,93,-0.64,130,97,170,,,,,,,76,46,118,82,74,91,,0.00,Yes,0.80,20,18,21,12,11,13,5,5,6,4,4,5,-0.57,74,72,75,1.21,74,68,81,74,60,87,,,,77,69,85,76,75,78,42213,42,39,44,3.58
02180,Alaska,Nome,153,14662,11853,17471,0.90,,,,,,,,,,,,,,,,25,24,26,1.27,5.4,5.2,5.6,1.36,4.5,4.3,4.7,1.10,,6,5,7,0.23,6,4,7,,,,,,,,,,6,2,9,32,31,33,1.46,40,34,47,1.04,3.5,1.22,25,19,31,0.41,100,0.00,22,21,22,0.28,6,6,100,,,1.73,285,2872.7,2.01,61,51,70,1.09,,,,,,,,,,,,,,,,1915,21,19,23,0.74,9,91,1102:1,0.20,9,90,1112:1,-0.35,85,849,118:1,-0.70,8308,2.78,,,,,,34,-0.35,35,,,,36,4,2.12,2,,,,9,151,75,0.23,962,2607,37,33,41,1.37,477,4113,11.6,0.67,27,19,35,0.74,33,,,,1,108828,25644,4.2,-0.01,1534,3367,46,41,51,0.95,6,6.0,0.14,,,0.00,83,168,134,208,0.72,,,,,,,,,,,,,,,,,0.00,Yes,0.80,52,49,55,13,11,15,30,27,32,25,22,27,1.42,25,21,29,-1.07,14,11,17,,,,,,,,,,43,33,52,3579,0,0,4,-0.70
02185,Alaska,North Slope,115,10485,8030,12939,-0.02,,,,,,,,,,,,,,,,16,16,17,-0.15,3.8,3.6,3.9,-0.24,3.4,3.3,3.6,-0.33,,6,5,8,0.58,,,,,,,,,,,,,,,,24,23,25,0.36,40,34,46,1.01,6.9,-0.36,35,29,43,2.47,100,0.00,22,21,23,0.62,1,4,25,2,54,-0.73,106,1083.6,0.12,61,50,73,1.12,,,,,,,,,,,,,,,,1614,18,16,20,-0.20,3,31,3261:1,1.03,7,71,1410:1,0.09,7,71,1410:1,0.76,,0.00,,,,,,,0.00,,,,,,,0.00,,,,,,135,68,1.00,1421,2889,49,42,57,0.45,240,3413,7.0,-0.50,15,10,20,-0.33,15,1,,,44,142280,33267,4.3,0.03,1132,2504,45,37,54,0.92,3,3.1,0.62,79,809,1.20,50,103,76,135,-0.35,,,,,,,,,,,,,,,,,0.00,No,-1.20,43,39,47,8,4,11,30,26,34,12,9,16,0.87,21,18,25,-1.24,28,23,32,31,18,44,,,,31,10,52,16,13,20,5388,2,0,5,-0.56
02188,Alaska,Northwest Arctic,117,16982,13500,20465,1.42,,,,,,,,,,,,,,,,24,23,24,1.06,5.3,5.1,5.6,1.29,4.5,4.3,4.8,1.21,,7,5,8,1.11,,,,,,,,,,,,,,,,31,29,32,1.31,42,35,50,1.32,3.4,1.26,27,20,35,0.76,100,0.00,21,20,22,-0.03,0,2,0,0,51,-1.56,178,2316.5,1.42,75,64,87,1.73,,,,,,,,,,,,,,,,1703,24,21,27,1.54,4,52,1921:1,0.74,2,26,3836:1,1.12,77,1004,100:1,-0.99,,0.00,,,,,,,0.00,,,,,,,0.00,,,,,,124,76,0.20,650,2033,32,26,38,1.73,416,2924,14.2,1.35,28,18,38,0.82,33,,,11,22,131786,24830,5.3,1.53,1309,2702,48,43,54,1.20,5,6.5,0.06,,,0.00,76,197,156,247,1.22,,,,,,,,,,,,,,,,,0.00,Yes,0.80,51,47,55,7,4,10,38,33,43,19,17,22,1.35,18,15,22,-1.39,16,13,19,,,,,,,,,,21,14,29,2554,0,0,10,-0.74
02195,Alaska,Petersburg,,,,,0.00,,,,,,,,,,,,,,,,12,12,13,-0.83,3.2,3.1,3.4,-0.78,3.1,3.0,3.3,-0.73,,,,,0.00,,,,,,,,,,,,,,,,15,15,16,-0.88,25,17,35,-1.40,8.3,-1.01,18,12,25,-0.91,,0.00,21,20,22,-0.15,,,,,,0.00,,,0.00,,,,0.00,,,,,,,,,,,,,,,,499,19,16,21,0.05,6,183,547:1,-1.09,3,93,1074:1,-0.43,13,404,248:1,0.13,,0.00,,,,,,,0.00,,,,,,,0.00,,,,,,48,90,-1.24,413,654,63,55,72,-0.59,122,1404,8.7,-0.08,10,6,13,-0.86,14,35,,7,7,126111,28986,4.4,0.14,243,716,34,26,41,-0.07,3,9.1,-0.37,13,411,-0.02,12,75,39,131,-0.81,,,,,,,,,,,,,,,,,0.00,No,-1.20,19,14,23,14,10,19,3,1,4,3,1,5,-0.64,49,43,55,0.05,,,,,,,,,,,,,,,,1520,4,0,10,-0.35
02198,Alaska,Prince of Wales-Hyder,113,13103,9483,16722,0.56,,,,,,,,,,,,,,,,18,18,19,0.21,4.3,4.1,4.4,0.24,3.9,3.7,4.0,0.27,x,4,,,-1.22,,,,,,,,,,,,,,,,22,22,23,0.14,45,35,56,1.77,6.3,-0.08,23,16,32,-0.01,,0.00,20,19,20,-0.91,3,5,60,38,75,0.42,,,0.00,17,11,26,-0.83,,,,,,,,,,,,,,,,1252,23,21,26,1.28,5,78,1289:1,0.38,3,47,2141:1,0.65,8,125,803:1,0.66,,0.00,,,,,,,0.00,,,,,,,0.00,,,,,,111,77,0.03,778,1504,52,46,57,0.26,315,2899,10.9,0.48,23,16,31,0.42,32,,,16,14,102284,23725,4.3,0.08,572,1518,38,31,44,0.26,10,15.5,-1.40,,,0.00,46,144,105,192,0.33,168,108,250,,,,,,,,,,115,68,182,,0.00,No,-1.20,17,14,20,6,4,8,6,4,7,6,4,8,-0.74,50,47,54,0.12,60,54,67,,,,,,,,,,47,42,52,2612,12,9,16,0.53
02220,Alaska,Sitka,92,5871,4213,7965,-1.04,,,,,,,,,,,,,,,,13,12,13,-0.78,3.4,3.3,3.5,-0.60,3.3,3.1,3.4,-0.54,,6,4,8,0.42,,,,,,,,,,,,,,,,16,16,17,-0.72,27,20,34,-1.14,8.1,-0.92,18,13,22,-1.05,100,0.00,21,20,22,0.06,,,,,,0.00,35,402.8,-0.60,16,11,23,-0.88,31,16,56,,,,,,,,,,12,6,21,1335,18,16,21,-0.07,17,196,511:1,-1.26,11,127,786:1,-1.22,154,1781,56:1,-2.44,2940,-0.07,7782,,,,1146,29,0.33,10,27,,,32,31,-0.22,35,35,,,31,216,87,-0.98,1618,2471,65,57,74,-0.76,183,4408,4.2,-1.25,9,6,12,-0.92,32,13,,5,1,124016,32290,3.8,-0.60,724,1839,39,29,50,0.41,13,15.0,-1.31,9,101,-0.97,26,59,39,87,-1.08,,,,,,,,,,,,,,,,,0.00,Yes,0.80,17,14,21,13,9,16,3,2,5,3,2,4,-0.73,60,56,65,0.59,61,50,72,54,40,68,,,,62,45,79,62,56,67,4716,1,0,3,-0.61
02230,Alaska,Skagway,,,,,,,,,,,,,,,,,,,,,12,11,12,,3.0,2.9,3.2,,3.1,2.9,3.3,,,,,,,,,,,,,,,,,,,,,,16,15,16,,33,21,46,,8.0,,19,11,29,,,,23,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,14,12,16,,0,0,1157:0,,0,0,1148:0,,1,87,1148:1,,2297,,5501,,,,1195,41,,49,,,,37,24,,22,,,,25,,,,271,371,73,53,93,,82,836,9.8,,9,6,12,,,,,,,122188,45577,2.7,,54,184,29,19,40,,0,0.0,,4,372,,,,,,,,,,,,,,,,,,,,,,,,No,,10,4,17,6,0,12,4,0,7,4,1,8,,39,27,51,,,,,,,,,,,,,,,,,670,2,0,14,
02240,Alaska,Southeast Fairbanks,82,7042,4848,9890,-0.78,,,,,,,,,,,,,,,,15,14,15,-0.40,3.4,3.3,3.6,-0.60,3.4,3.2,3.5,-0.43,x,3,2,4,-2.54,,,,,,,,,,,,,,,,20,19,20,-0.24,33,28,38,-0.16,6.1,0.01,19,15,22,-0.83,100,0.00,20,20,21,-0.45,2,8,25,7,46,-0.73,14,203.3,-0.81,34,25,45,-0.08,44,21,81,,,,,,,,,,31,22,44,1235,21,19,24,0.70,7,102,984:1,0.05,5,72,1384:1,0.05,10,145,692:1,0.62,1811,-0.67,3014,,,,1234,29,0.33,48,,,,26,21,0.65,27,,,,19,77,77,0.11,915,1728,53,44,62,0.17,282,2940,9.6,0.15,18,12,24,-0.10,39,,,,11,125950,29422,4.3,0.04,374,1805,21,13,29,-1.23,4,5.8,0.17,,,0.00,32,93,64,131,-0.52,,,,,,,,,,,,,,,,,0.00,No,-1.20,24,19,29,10,7,14,8,5,11,9,6,11,-0.30,64,58,70,0.75,61,48,73,,,,,,,,,,58,52,64,2812,11,5,16,0.36
02261,Alaska,Valdez-Cordova,109,7321,5308,9333,-0.72,,,,,,,,,,,,,,,,12,12,13,-0.84,3.1,3.0,3.3,-0.87,3.2,3.0,3.3,-0.67,,5,4,7,-0.26,,,,,,,,,,,,,,,,17,16,17,-0.68,35,29,42,0.16,7.2,-0.50,19,14,24,-0.73,100,0.00,25,24,25,2.11,5,7,71,58,81,0.79,34,366.5,-0.64,15,10,21,-0.92,35,19,60,,,,,,,,,,11,6,18,1193,15,13,17,-1.01,9,97,1031:1,0.11,4,44,2291:1,0.72,19,207,482:1,0.50,,0.00,,,,,,,0.00,,,,,,,0.00,,,,,,105,67,1.16,1325,2512,53,41,64,0.19,361,4849,7.4,-0.40,12,8,16,-0.62,31,3,,,7,136455,29106,4.7,0.63,400,2197,18,8,28,-1.45,15,16.2,-1.51,20,316,-0.31,55,118,89,153,-0.10,182,97,311,,,,,,,,,,111,79,153,,0.00,Yes,0.80,20,15,24,10,5,14,4,2,6,6,3,10,-0.58,64,57,70,0.74,42,28,56,,,,,,,,,,64,60,69,4847,4,1,6,-0.37
02275,Alaska,Wrangell,,,,,0.00,,,,,,,,,,,,,,,,15,15,16,-0.36,3.7,3.5,3.8,-0.32,3.5,3.3,3.6,-0.24,,,,,0.00,,,,,,,,,,,,,,,,17,17,18,-0.56,43,32,54,1.40,7.5,-0.64,30,20,42,1.49,,0.00,18,18,19,-1.62,,,,,,0.00,,,0.00,,,,0.00,,,,,,,,,,,,,,,,370,19,16,21,0.11,3,119,840:1,-0.20,2,80,1252:1,-0.12,8,320,313:1,0.29,,0.00,,,,,,,0.00,,,,,,,0.00,,,,,,20,90,-1.29,299,471,63,54,73,-0.61,74,1051,7.0,-0.50,16,10,22,-0.26,9,,,10,5,108410,25364,4.3,0.03,187,492,38,27,49,0.29,0,0.0,1.12,0,0,-1.28,16,131,75,213,0.12,,,,,,,,,,,,,,,,,0.00,Yes,0.80,13,9,17,8,4,12,2,1,4,3,1,6,-0.99,59,52,67,0.55,75,61,88,,,,,,,,,,60,50,69,1055,0,0,7,-0.74
02282,Alaska,Yakutat,,,,,,,,,,,,,,,,,,,,,16,16,17,,3.8,3.7,4.0,,3.6,3.5,3.7,,,,,,,,,,,,,,,,,,,,,,20,19,20,,32,17,51,,5.9,,23,13,39,,100,,20,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,19,16,21,,0,0,605:0,,0,0,604:0,,2,331,302:1,,,,,,,,,,,,,,,,,,,,,,,,,,111,180,62,38,85,,20,245,8.2,,15,10,21,,,,,,,104333,32313,3.2,,66,187,35,26,45,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,18,8,29,8,0,21,7,0,14,3,1,6,,48,44,53,,62,55,70,,,,,,,,,,46,44,48,336,0,0,28,
02290,Alaska,Yukon-Koyukuk,114,18289,13834,22743,1.70,,,,,,,,,,,,,,,,23,22,24,0.96,5.2,5.0,5.4,1.18,4.4,4.2,4.6,1.00,x,4,3,6,-1.31,,,,,,,,,,,,,,,,30,29,31,1.19,31,25,36,-0.52,1.9,1.96,24,20,29,0.23,100,0.00,22,21,23,0.36,2,7,29,9,50,-0.62,62,1155.6,0.19,34,25,46,-0.07,,,,,,,,,,,,,,,,1109,24,21,27,1.54,1,19,5365:1,1.20,2,38,2664:1,0.86,5,94,1065:1,0.71,2003,-0.56,,,,,,42,-1.42,45,,,,40,31,-0.22,31,,,,32,639,67,1.11,640,1358,47,40,55,0.61,389,2545,15.3,1.62,31,21,41,1.16,37,,,61,17,87328,14640,6.0,2.48,799,1485,54,48,60,1.67,0,0.0,1.12,,,0.00,65,238,184,303,1.90,,,,,,,,,,,,,,,,,0.00,Yes,0.80,51,47,54,8,5,10,16,14,18,37,35,40,1.33,25,21,28,-1.10,22,18,26,,,,,,,,,,23,17,30,2059,6,0,11,-0.16