FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
49000,Utah,,24654,6032,5935,6128,,,,,,,,,,,,,,,,,14,13,15,,3.5,3.3,3.7,,3.7,3.6,3.9,,,7,7,7,,,,,,,,,,,,,,,,,9,8,10,,26,,,,7.8,,18,,,,86,,12,11,13,,303,1348,22,21,24,,10135,326.7,,18,17,18,,,,,,,,,,,,,,,,,273905,10,10,11,,1796,58,1727:1,,2150,68,1470:1,,10543,334,300:1,,2436,,,,,,,39,,,,,,,46,,,,,,,,87,,605007,860275,70,70,71,,48978,1572137,3.1,,10,9,11,,,,,,,121695,32158,3.8,,165484,911586,18,18,19,,1072,3.5,,6877,229,,10198,67,66,68,,,,,,,,,,,,,,,,,5.6,,,,14,14,14,,,,,,,,,,,76,76,76,,,,,,,,,,,,,,,,,1433444,24,24,25,
49001,Utah,Beaver,67,7508,5168,10544,0.19,,,,,,,,,,,,,,,,14,13,14,0.05,3.6,3.4,3.8,-0.06,3.9,3.7,4.1,-0.01,,8,6,10,0.43,,,,,,,,,,10,4,15,8,6,10,11,10,11,0.31,25,17,33,-0.48,7.9,-0.61,20,14,26,-0.05,78,-0.45,12,11,13,0.17,1,9,11,1,33,-1.03,7,109.6,-1.01,38,29,48,1.91,,,,,,,,,,45,22,83,38,28,49,675,12,11,14,0.26,5,78,1277:1,-0.76,4,61,1645:1,-0.14,5,76,1316:1,0.87,5648,1.63,,,,,,32,0.71,,,,,,25,1.71,,,,,,,85,1.02,868,1563,56,45,66,0.75,106,3014,3.5,-0.33,14,9,19,0.05,,,,32,9,89630,27250,3.3,-0.96,236,2053,11,5,18,-0.91,0,0.0,0.94,3,54,-1.06,32,99,68,140,0.53,,,,,,,,,,,,,,,,4.7,-1.07,No,-0.85,11,7,15,5,2,9,5,2,8,1,0,3,-0.78,77,70,84,0.16,,,,,,,,,,,,,,,,2692,19,12,25,-0.42
49003,Utah,Box Elder,518,6485,5722,7247,-0.33,,,,,,,,,,9246,6510,12745,6098,5313,6882,13,13,14,-0.16,3.4,3.3,3.6,-0.43,3.8,3.6,3.9,-0.39,,7,6,7,-0.67,,,,,,,,,,9,7,12,6,6,7,10,9,10,-0.27,32,28,36,1.07,7.8,-0.53,23,20,26,0.65,76,-0.40,11,11,12,-0.30,8,59,14,8,21,-0.84,90,166.4,-0.46,23,20,26,0.19,,,,,,,,,,57,45,71,19,16,21,4099,9,8,10,-1.05,16,30,3380:1,0.84,37,67,1485:1,-0.41,261,475,211:1,-1.09,2644,-0.20,,,,8387,2470,40,-0.50,,58,,26,40,44,-0.33,,30,,36,45,,84,1.22,8623,13261,65,61,69,-0.03,773,25435,3.0,-0.72,9,6,12,-0.71,27,,,18,11,104039,31973,3.3,-1.01,2558,16967,15,11,19,-0.44,14,2.6,-0.30,65,130,-0.36,220,83,72,94,-0.17,,,,,,,,,,85,53,130,82,71,94,7.3,1.05,Yes,1.13,9,8,11,7,6,9,2,1,3,0,0,1,-1.39,78,76,79,0.34,,,,,,,,,,75,67,84,76,75,78,22814,32,30,35,0.80
49005,Utah,Cache,704,4928,4483,5373,-1.11,,,,,,,,,,3866,2762,5265,5006,4514,5497,12,12,13,-0.63,3.5,3.3,3.6,-0.39,3.8,3.6,3.9,-0.38,,6,6,7,-0.82,12,6,17,8,5,11,,,,8,7,9,6,6,7,9,8,9,-0.86,26,23,28,-0.27,7.1,0.03,15,13,17,-1.53,86,-0.85,12,11,13,0.23,8,59,14,8,21,-0.84,261,209.7,-0.04,12,11,13,-1.03,,,,,,,,,,40,34,46,8,7,9,10979,10,9,11,-0.58,57,46,2183:1,0.30,82,65,1550:1,-0.30,202,159,629:1,0.46,1951,-0.62,,,,,,38,-0.19,,21,,28,39,50,-0.97,,50,,29,51,,92,-0.49,23323,31140,75,72,78,-0.85,1699,63262,2.7,-1.01,12,9,14,-0.31,54,46,45,24,11,101866,26193,3.9,0.04,5397,37435,14,12,17,-0.53,40,3.2,-0.60,79,65,-0.96,322,52,47,58,-1.46,,,,,,,,,,35,22,53,55,49,61,7.2,0.97,No,-0.85,14,13,16,12,10,13,3,2,4,1,0,1,0.60,75,73,76,-0.63,,,,71,57,84,,,,69,64,75,77,75,78,58265,12,11,13,-1.04
49007,Utah,Carbon,306,10052,8433,11672,1.47,,,,,,,,,,,,,,,,16,16,17,1.17,4.2,4.0,4.3,1.53,4.2,4.0,4.4,1.13,,10,9,12,2.48,,,,,,,,,,11,7,15,11,9,12,12,12,13,1.14,27,24,31,0.08,7.0,0.11,23,20,27,0.81,72,-0.21,12,12,13,0.27,5,21,24,12,36,-0.02,36,177.4,-0.35,25,20,29,0.38,,,,,,,,,,21,12,33,25,20,30,1681,10,9,12,-0.51,11,54,1845:1,0.03,18,89,1126:1,-1.29,39,192,520:1,0.30,2856,-0.07,,,,3914,2718,41,-0.65,,,,33,41,46,-0.54,,,,38,47,,95,-1.01,3537,4876,73,65,80,-0.65,385,8477,4.5,0.50,17,11,23,0.60,,,,21,17,91869,20517,4.5,1.01,1479,5395,27,21,34,1.17,13,6.4,-2.12,25,131,-0.34,118,116,95,136,1.23,,,,,,,,,,111,62,183,120,97,143,5.7,-0.25,No,-0.85,14,11,17,10,7,13,2,1,4,2,1,3,0.49,81,77,85,1.32,,,,,,,,,,78,72,84,82,79,85,8581,14,11,17,-0.84
49009,Utah,Daggett,,,,,,,,,,,,,,,,,,,,,10,9,10,,2.8,2.7,3.0,,3.2,3.0,3.4,,,,,,,,,,,,,,,,,,,,,,7,7,8,,28,18,38,,7.0,,20,12,30,,99,,12,11,13,,1,4,25,2,54,,,,,,,,,,,,,,,,,,,,,,,,68,9,7,10,,0,0,1029:0,,0,0,980:0,,0,0,980:0,,2356,,,,,,,35,,,,,,,54,,,,,,,,,,86,111,77,67,88,,18,410,4.4,,7,5,10,,,,,,,113500,27500,4.1,,4,122,3,0,15,,0,0.0,,1,87,,,,,,,,,,,,,,,,,,,,,,4.4,,Yes,,9,1,17,7,0,27,2,0,12,0,0,9,,46,14,77,,,,,,,,,,,,,,,,,250,35,13,58,
49011,Utah,Davis,2257,5091,4824,5358,-1.03,,,,3639,2535,5061,7041,4679,10176,4502,3697,5308,5172,4878,5466,11,11,11,-1.22,3.5,3.3,3.6,-0.33,3.7,3.5,3.8,-0.69,,7,6,7,-0.62,,,,9,8,11,14,11,18,8,7,9,6,6,7,9,8,9,-0.73,26,25,28,-0.12,8.1,-0.77,18,16,19,-0.69,94,-1.22,11,11,12,-0.20,18,79,23,17,29,-0.10,1144,329.1,1.12,13,13,14,-0.91,21,10,39,9,5,13,14,9,21,29,25,32,11,10,12,21800,7,6,8,-1.70,165,47,2107:1,0.25,237,67,1484:1,-0.41,722,205,487:1,0.24,2052,-0.56,,2437,2072,534,2044,40,-0.50,45,41,45,36,40,49,-0.86,32,47,39,43,50,,95,-1.01,73781,97550,76,74,78,-0.91,5005,170592,2.9,-0.80,6,5,8,-1.18,6,16,22,19,4,132187,41859,3.2,-1.17,15760,111032,14,13,16,-0.56,77,2.2,-0.12,346,103,-0.60,919,54,50,57,-1.40,123,59,227,30,17,48,,,,28,21,38,58,54,62,8.4,1.95,Yes,1.13,11,10,12,8,8,9,3,2,3,1,1,1,-0.65,80,79,81,0.95,,,,76,69,83,84,75,93,79,76,83,79,78,80,158992,28,26,29,0.37
49013,Utah,Duchesne,226,9249,7714,10785,1.07,,,,,,,,,,,,,,,,14,13,14,0.08,3.7,3.5,3.8,0.20,4.0,3.8,4.1,0.26,,8,7,9,0.10,10,6,16,,,,,,,6,3,9,7,6,9,11,11,12,0.67,30,26,33,0.57,7.3,-0.13,22,19,25,0.43,54,0.68,11,11,12,-0.15,3,22,14,4,26,-0.83,33,164.8,-0.47,39,34,45,2.05,72,43,112,,,,,,,62,41,90,33,28,39,2700,16,14,17,1.34,9,45,2225:1,0.33,12,60,1664:1,-0.12,33,165,605:1,0.43,3280,0.19,,,,,,21,2.37,,,,,,40,0.10,29,,,27,40,,88,0.41,2855,5442,52,49,56,1.00,355,7724,4.6,0.55,14,9,18,0.03,71,,,24,12,105037,27992,3.8,-0.19,1221,6775,18,15,21,-0.06,4,2.0,-0.01,90,424,2.37,121,119,98,140,1.38,375,210,618,,,,,,,,,,116,94,139,6.2,0.16,No,-0.85,14,12,16,9,7,11,4,3,6,1,0,1,0.36,80,78,82,1.05,,,,,,,,,,65,51,79,81,79,83,7928,24,22,27,0.08
49015,Utah,Emery,148,8763,6607,10919,0.82,,,,,,,,,,,,,,,,13,12,14,-0.28,3.5,3.3,3.7,-0.29,3.9,3.7,4.1,-0.09,,8,6,9,0.16,,,,,,,,,,,,,,,,12,11,12,0.79,31,26,36,0.86,7.9,-0.61,20,16,23,-0.21,43,1.16,11,11,12,-0.21,5,26,19,10,31,-0.39,8,79.4,-1.30,18,13,24,-0.35,,,,,,,,,,,,,,,,756,9,8,11,-0.95,1,10,10077:1,1.48,3,30,3338:1,1.11,10,100,1001:1,0.76,3286,0.19,,,,,,31,0.86,,,,,,33,0.85,,,,67,33,,94,-0.81,1520,2337,65,58,72,-0.03,208,4342,4.8,0.71,17,12,21,0.54,,,,50,17,97515,25957,3.8,-0.18,562,3112,18,13,24,-0.05,0,0.0,0.94,18,167,-0.02,68,133,103,168,1.95,,,,,,,,,,,,,,,,5.5,-0.41,Yes,1.13,9,7,12,6,3,8,3,1,4,1,0,2,-1.42,79,75,83,0.79,,,,,,,,,,,,,,,,3861,24,19,29,0.06
49017,Utah,Garfield,68,11278,7663,16008,2.09,,,,,,,,,,,,,,,,14,13,15,0.21,3.7,3.5,3.9,0.29,4.0,3.8,4.2,0.31,,7,5,10,-0.12,,,,,,,,,,,,,,,,10,10,11,0.10,24,18,32,-0.58,5.5,1.32,23,17,30,0.68,39,1.36,10,10,11,-0.83,3,14,21,8,37,-0.21,7,137.8,-0.73,21,13,31,-0.04,,,,,,,,,,,,,,,,607,16,14,19,1.60,3,59,1693:1,-0.13,1,20,5080:1,1.53,5,98,1016:1,0.76,5076,1.28,,,,,,41,-0.65,,,,,,29,1.28,,,,,,,93,-0.61,676,1133,60,49,70,0.41,217,2789,7.8,3.00,19,14,25,0.96,75,,,,28,94864,24066,3.9,0.12,277,1186,23,13,34,0.64,0,0.0,0.94,,,0.00,29,115,77,165,1.21,,,,,,,,,,,,,,,,4.5,-1.23,No,-0.85,12,8,16,9,5,13,2,0,4,1,0,2,-0.40,73,68,77,-1.34,,,,,,,,,,,,,,,,2179,15,9,20,-0.79
49019,Utah,Grand,128,9306,6927,11684,1.10,,,,,,,,,,,,,,,,14,13,14,0.03,3.7,3.6,3.9,0.35,3.9,3.7,4.1,0.09,,8,6,10,0.44,,,,,,,,,,,,,,,,11,11,12,0.54,24,19,30,-0.69,7.1,0.03,14,11,18,-1.58,95,-1.28,11,11,12,-0.24,7,31,23,13,33,-0.12,25,258.4,0.43,30,23,40,1.05,,,,,,,,,,51,28,85,25,18,36,1033,13,11,15,0.51,13,134,744:1,-2.59,7,72,1395:1,-0.59,23,236,425:1,0.09,1706,-0.77,,,,,,38,-0.19,,,,,,42,-0.11,,,,48,43,,83,1.43,1536,2533,61,49,72,0.33,289,6084,4.8,0.67,16,11,22,0.47,,,,,,80902,23574,3.4,-0.72,716,1897,38,17,58,2.52,4,4.1,-1.04,26,269,0.93,43,90,65,121,0.13,,,,,,,,,,,,,,,,5.4,-0.50,Yes,1.13,14,8,20,11,6,16,3,0,5,0,0,0,0.44,74,68,80,-0.74,,,,,,,,,,,,,,,,4674,10,4,15,-1.24
